"ID","Total","Assignment 1","Assignment 2","Assignment 3","Assignment 4","Assignment 5","Assignment 6","Assignment 7","Assignment 8","Exam 1","Exam 2","Exam 3"
"111391","511","44","42","40","51","50","44","46","34","52","73","35"
"111245","521","52","54","47","47","37","45","49","58","45","39","48"
"111128","787","54","69","79","82","67","63","59","71","72","99","72"
"111260","683","68","50","52","46","75","71","62","67","64","82","46"
"111310","820","71","69","73","68","85","71","86","77","62","69","89"
"111299","553","47","59","44","49","48","42","37","57","51","59","60"
"111202","731","60","71","66","70","50","77","55","62","79","71","70"
"111320","808","61","78","74","71","61","68","75","60","90","77","93"
"111142","873","78","70","87","87","80","87","61","74","85","85","79"
"111160","872","75","69","56","72","87","74","74","85","100","92","88"
"111261","807","78","68","85","62","62","83","72","78","83","75","61"
"111215","640","48","56","48","62","42","60","61","65","60","76","62"
"111227","541","55","49","48","48","51","36","49","57","47","54","47"
