"ID","Total","Assignment 1","Assignment 2","Assignment 3","Assignment 4","Assignment 5","Assignment 6","Assignment 7","Assignment 8","Exam 1"
"111363","651","41","33","44","34","33","37","24","52","353"
"111328","514","33","24","30","28","30","29","32","29","279"
"111153","826","56","56","60","53","50","59","49","53","390"
"111116","609","42","51","33","27","38","38","37","47","296"
"111284","727","49","43","41","41","37","43","39","49","385"
"111381","570","33","26","47","35","33","36","31","24","305"
"111242","749","49","52","50","49","45","36","45","42","381"
"111389","470","37","25","22","23","38","40","31","38","216"
"111359","698","51","41","44","52","48","46","53","46","317"
"111246","807","45","52","52","49","53","38","56","46","416"
"111154","673","47","37","46","28","48","47","40","48","332"
"111315","928","52","62","49","51","53","61","51","56","493"
"111179","504","36","28","30","27","33","22","28","28","272"
"111364","662","35","47","33","43","41","39","38","36","350"
"111241","881","46","60","48","57","48","59","40","62","461"
"111326","642","38","30","33","44","37","44","34","41","341"
"111289","794","42","30","47","33","44","32","39","41","486"
"111402","434","11","24","23","26","26","26","25","27","246"
"111257","868","52","36","60","52","54","44","53","49","468"
"111200","878","59","50","59","53","41","48","55","57","456"
