"ID","Total","Assignment 1","Assignment 2","Assignment 3","Exam 1","Exam 2","Exam 3","Exam 4"
"111169","838","103","101","119","124","145","145","101"
"111214","692","105","82","90","76","109","123","107"
"111140","393","32","57","50","57","54","59","84"
"111388","800","131","96","92","115","114","135","117"
"111326","898","119","123","129","134","136","125","132"
"111195","698","92","105","119","92","111","93","86"
"111252","677","116","74","85","102","96","116","88"
"111115","714","84","79","95","120","112","106","118"
"111247","583","91","83","73","79","64","105","88"
"111341","883","111","133","105","129","143","121","141"
"111133","889","133","97","121","132","113","150","143"
"111310","429","53","35","74","72","74","57","64"
"111349","432","65","66","42","72","54","72","61"
"111226","648","89","77","88","81","111","88","114"
"111234","610","103","69","82","84","78","99","95"
"111213","556","80","89","88","94","69","61","75"
"111285","877","105","130","123","131","129","132","127"
"111137","553","70","81","85","83","58","94","82"
"111347","536","77","57","66","61","90","86","99"
"111160","471","65","61","58","81","90","55","61"
"111212","909","119","119","131","123","134","150","133"
"111248","556","62","73","85","81","80","74","101"
"111384","850","115","122","122","117","133","112","129"
