"ID","Total","Assignment 1","Assignment 2","Assignment 3","Assignment 4","Assignment 5","Assignment 6","Assignment 7","Assignment 8","Assignment 9","Assignment 10","Exam 1","Exam 2"
"111313","469","33","26","27","23","23","32","34","36","19","36","104","76"
"111328","901","59","53","57","53","47","60","57","49","58","50","180","178"
"111295","827","53","55","46","51","47","45","49","51","40","56","170","164"
"111287","333","19","21","23","33","28","17","14","19","21","26","44","68"
"111345","403","31","33","24","27","13","24","18","31","22","37","66","77"
"111204","819","48","55","59","40","41","53","48","42","46","50","150","187"
"111349","786","53","45","39","47","43","52","40","52","45","35","157","178"
"111405","770","47","54","48","36","40","41","39","46","44","48","172","155"
"111144","675","48","45","48","32","36","35","34","34","48","46","125","144"
"111388","410","24","18","26","26","30","22","31","28","32","28","77","68"
"111137","903","49","57","60","60","60","59","49","54","60","52","200","143"
"111122","918","52","43","57","55","60","49","59","52","54","54","183","200"
"111190","732","29","39","41","43","43","59","38","42","41","48","146","163"
"111342","535","23","42","35","31","33","34","33","28","35","35","103","103"
"111294","509","40","28","30","30","19","35","35","27","18","14","114","119"
"111205","470","32","28","26","33","36","24","26","34","31","28","98","74"
"111358","456","21","27","26","21","25","31","26","24","28","9","84","134"
"111277","877","59","57","58","53","59","45","58","56","58","54","150","170"
"111369","733","38","50","47","35","42","52","42","41","42","45","160","139"
"111354","674","32","35","38","34","36","39","36","38","30","34","127","195"
"111293","568","32","27","36","31","41","34","43","37","43","45","109","90"
"111357","851","46","54","43","41","49","50","46","51","48","56","167","200"
"111124","820","60","57","47","48","52","53","51","41","55","46","183","127"
"111380","714","45","41","36","54","55","44","38","45","31","47","157","121"
"111241","707","34","42","47","38","40","52","38","39","50","39","134","154"
