"ID","Total","Assignment 1","Assignment 2","Exam 1","Exam 2","Exam 3"
"111163","361","59","60","91","75","76"
"111209","369","78","76","76","75","64"
"111238","739","173","105","150","143","168"
"111230","825","147","189","161","155","173"
"111121","642","101","145","133","123","140"
"111175","474","114","91","74","64","131"
"111361","704","129","123","148","149","155"
"111176","828","191","144","164","165","164"
"111337","886","200","162","173","178","173"
"111170","624","133","138","117","121","115"
"111293","400","92","69","75","80","84"
