"ID","Total","Assignment 1","Assignment 2","Assignment 3","Assignment 4","Assignment 5","Exam 1"
"111132","410","36","48","65","54","55","152"
"111260","715","81","82","75","86","76","315"
"111123","884","102","101","106","108","105","362"
"111261","714","102","73","80","80","99","280"
"111356","518","58","65","69","58","61","207"
"111214","504","59","71","65","52","49","208"
"111370","709","80","66","84","95","74","310"
"111360","503","64","35","66","41","62","235"
"111405","549","71","59","66","80","68","205"
"111233","943","115","120","116","113","108","371"
"111376","402","59","46","79","40","44","134"
"111203","646","71","74","85","89","55","272"
"111387","852","84","91","107","103","108","359"
