"ID","Total","Assignment 1","Assignment 2","Assignment 3","Assignment 4","Assignment 5","Assignment 6","Assignment 7","Assignment 8","Assignment 9","Exam 1"
"111146","623","14","21","26","14","24","24","20","19","24","437"
"111169","729","25","33","28","27","29","26","29","27","22","483"
"111293","911","27","32","33","33","29","28","28","31","29","641"
"111361","652","17","16","20","20","21","23","25","19","23","468"
"111226","722","29","27","23","27","29","21","22","25","33","486"
"111342","696","16","19","21","19","24","13","13","21","23","527"
"111159","751","30","23","29","21","30","26","33","29","33","497"
"111195","547","22","16","14","16","14","19","20","16","15","395"
"111374","954","28","31","25","33","31","28","27","26","25","700"
"111235","682","22","19","23","25","19","29","26","24","23","472"
