"ID","Total","Assignment 1","Assignment 2","Assignment 3","Assignment 4","Assignment 5","Assignment 6","Assignment 7","Assignment 8","Assignment 9","Assignment 10","Exam 1","Exam 2","Exam 3"
"111293","563","39","30","41","31","31","36","33","39","34","30","53","95","71"
"111268","604","38","50","42","33","28","33","28","39","29","33","87","79","85"
"111326","912","58","51","41","53","54","60","60","56","47","52","118","133","129"
"111407","500","28","22","39","23","26","42","27","16","36","50","74","66","51"
"111172","907","60","60","60","54","51","45","60","56","48","53","133","119","108"
"111224","845","60","42","55","53","49","49","47","52","60","53","101","114","110"
"111397","765","47","60","53","45","39","41","56","50","44","44","87","93","106"
"111390","581","49","37","28","23","15","31","35","31","35","34","86","88","89"
"111165","661","41","30","44","44","33","47","46","26","35","42","81","102","90"
"111229","873","58","58","50","56","56","60","48","49","59","47","109","128","95"
"111369","493","29","28","27","36","23","32","26","25","30","29","69","68","71"
"111285","411","22","18","29","18","32","16","28","21","31","23","55","48","70"
"111200","789","46","45","49","49","52","42","48","54","39","50","90","105","120"
"111120","720","50","44","32","44","43","45","47","45","40","40","100","115","75"
"111375","604","34","33","42","26","30","48","28","39","44","31","70","76","103"
