"ID","Total","Assignment 1","Assignment 2","Assignment 3","Assignment 4","Exam 1","Exam 2"
"111302","428","34","39","43","48","99","165"
"111361","812","75","71","61","83","249","273"
"111165","574","51","44","60","52","215","152"
"111225","657","76","70","79","56","206","170"
"111186","671","65","73","70","57","209","197"
"111402","873","88","79","96","96","262","252"
"111247","466","57","33","60","37","168","111"
"111277","634","65","72","65","65","168","199"
"111146","439","40","41","39","36","159","124"
"111320","407","26","43","56","45","104","133"
"111258","697","100","67","58","66","221","185"
"111342","541","53","38","57","55","143","195"
"111341","773","81","78","91","87","238","198"
"111122","572","48","34","54","59","187","190"
"111153","881","98","75","76","84","267","281"
"111170","515","48","34","44","54","151","184"
"111407","618","66","72","53","64","205","158"
"111194","908","92","86","100","78","252","300"
"111130","710","80","65","78","55","228","204"
"111332","295","49","29","17","41","64","95"
