"ID","Total","Assignment 1","Assignment 2","Assignment 3","Assignment 4","Assignment 5","Assignment 6","Exam 1","Exam 2"
"111305","608","25","32","26","38","39","40","207","201"
"111306","914","42","47","46","45","46","46","333","309"
"111334","644","34","30","28","36","24","34","249","209"
"111399","436","23","24","21","33","22","29","135","149"
"111336","890","46","40","44","48","49","45","316","302"
"111318","710","36","32","35","41","39","35","219","273"
"111320","570","27","37","24","24","29","26","189","214"
"111229","555","27","26","17","27","19","18","202","219"
"111246","519","26","24","9","18","21","27","187","207"
"111321","770","45","37","39","37","34","36","236","306"
"111331","665","26","26","36","34","40","35","217","251"
