ID,Total,Assignment 1,Assignment 2,Assignment 3,Assignment 4,Assignment 5,Assignment 6,Assignment 7,Assignment 8,Assignment 9,Assignment 10,Exam 1,Exam 2
111111,77.5,3,4,0,0,9,10,9,9,9,2,9,13.5
111112,63.5,1,2.5,0,0,9,10,9,9,9,1,3,10
111113,78,5,3,4,4,9,10,9,9,9,2,0,14
111114,75,2,1,4,5,8,8,8,9,9,3,6,12
111115,85,4,1,4.5,5,9,9,8,9,9,3,12,11.5
111116,68,3,3.5,3,4,8,8,8,9,9,1,0,11.5
111117,78,1,1.5,0,0,10,10,10,10,10,2,12,11.5
111118,79,1,4,4,4,10,10,10,10,10,3,1.5,11.5
111119,82.5,5,2,3,5,9,10,9,9,9,3,6,12.5
111120,82.5,3,5,1,5,10,10,10,10,10,3,4.5,11
111121,82,2,3,3,5,9,9,8,9,9,3,9,13
111122,86.5,2,2,4,5,9,9,8,9,9,3,15,11.5
111123,85,2,1.5,5,5,9,9,8,9,9,3,10.5,14
111124,71.5,4,1,1,4,9,9,8,9,9,2,3,12.5
111125,78.5,1,1,4,4,8,8,8,9,9,3,9,14.5
111126,71.5,2,0,0,0,9,10,9,9,9,2,9,12.5
111127,88.5,4,4,4.5,4,8,8,8,9,9,3,15,12
111128,88,5,0,4.5,0,10,10,10,10,10,3,13.5,12
111129,94.5,1,1,5,5,10,10,10,10,10,4,15,13.5
111130,80,3,3,4.5,0,8,8,8,9,9,2,15,10.5
111131,89,1,2,4.5,5,9,10,9,9,9,4,15,11.5
111132,74.5,2,3.5,0,0,9,9,8,9,9,2,9,14
